date_time,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance 280-440,Global Horizontal UV Irradiance 295-385,pv,year_month,is_elnino_period
2017-01-01 06:30:00,0,0,0,0,0,0,3,4.0,100.43,0,0.098,1.6,1.025,252.2,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 07:00:00,0,0,0,0,0,0,3,6.0,94.96,0,0.098,1.6,1.02,255.6,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 07:30:00,0,0,0,0,0,0,4,6.0,89.67,0,0.098,1.9,1.012,255.6,93.62,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 08:00:00,36,112,47,37,242,60,4,6.0,84.63,4,0.098,2.2,1.004,251.2,91.78,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 08:30:00,68,212,106,59,439,136,3,6.0,79.87,4,0.098,2.6,0.968,251.2,91.79,9.0,1020,5.0533,3.8515,-0.084945031,2017-01,False
2017-01-01 09:00:00,98,278,168,73,569,216,2,6.0,75.46,4,0.098,3.1,0.933,256.9,86.48,10.0,1020,8.1828,6.2833,-0.084945031,2017-01,False
2017-01-01 09:30:00,125,321,227,83,656,292,2,6.0,71.46,4,0.098,3.4,0.876,256.9,86.49,10.0,1020,11.4674,8.863,-0.084945031,2017-01,False
2017-01-01 10:00:00,131,404,282,87,736,363,2,6.0,67.95,0,0.098,3.7,0.82,264.1,83.84,10.0,1020,14.6956,11.4071,-0.084945031,2017-01,False
2017-01-01 10:30:00,135,492,343,92,777,420,2,6.0,65.02,0,0.098,3.9,0.782,264.1,83.83,10.0,1020,18.2924,14.2381,-0.084945031,2017-01,False
2017-01-01 11:00:00,94,811,465,94,811,465,1,5.0,62.74,0,0.098,4.1,0.744,265.1,80.2,11.0,1020,25.1998,19.6484,-0.084945031,2017-01,False
2017-01-01 11:30:00,96,827,495,96,827,495,1,5.0,61.2,0,0.098,4.1,0.731,265.1,80.19,11.0,1020,27.093,21.1457,-0.084945031,2017-01,False
2017-01-01 12:00:00,173,472,405,93,847,511,2,5.0,60.45,0,0.098,4.3,0.719,269.7,71.5,11.0,1020,22.2686,17.3881,-0.084945031,2017-01,False
2017-01-01 12:30:00,93,846,509,93,846,509,1,5.0,60.51,0,0.098,4.1,0.734,269.7,71.49,11.0,1020,27.9769,21.8446,-0.084945031,2017-01,False
2017-01-01 13:00:00,93,831,491,93,831,491,1,4.0,61.39,0,0.098,4.1,0.75,273.2,69.48,11.0,1020,26.8422,20.9475,-0.084945031,2017-01,False
2017-01-01 13:30:00,91,813,459,91,813,459,1,4.0,63.06,0,0.098,4.0,0.778,273.2,74.29,11.0,1020,24.8212,19.3489,-0.084945031,2017-01,False
2017-01-01 14:00:00,85,793,414,85,793,414,1,4.0,65.44,0,0.098,3.9,0.806,275.2,73.47,11.0,1020,22.0097,17.1254,-0.084945031,2017-01,False
2017-01-01 14:30:00,80,752,356,80,752,356,1,4.0,68.47,0,0.098,3.7,0.829,275.2,73.47,10.0,1020,18.4706,14.3292,-0.084945031,2017-01,False
2017-01-01 15:00:00,71,699,287,71,699,287,0,4.0,72.06,0,0.098,3.5,0.852,275.1,73.85,10.0,1020,14.418,11.1338,-0.084945031,2017-01,False
2017-01-01 15:30:00,62,614,210,62,614,210,0,4.0,76.13,0,0.098,2.7,0.864,275.1,79.02,9.0,1020,10.1729,7.8018,-0.084945031,2017-01,False
2017-01-01 16:00:00,49,489,129,49,489,129,1,4.0,80.6,0,0.098,2.0,0.876,270.5,86.46,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 16:30:00,30,275,52,30,275,52,1,4.0,85.41,0,0.098,1.7,0.885,270.5,92.61,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 17:00:00,0,0,0,0,0,0,1,4.0,90.49,0,0.098,1.4,0.894,261.7,91.51,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 17:30:00,0,0,0,0,0,0,1,4.0,95.81,0,0.098,1.4,0.906,261.7,91.52,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 18:00:00,0,0,0,0,0,0,3,4.0,101.31,0,0.098,1.4,0.918,257.2,91.17,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 18:30:00,0,0,0,0,0,0,2,4.0,106.97,0,0.098,1.3,0.938,257.2,97.73,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 19:00:00,0,0,0,0,0,0,2,4.0,112.73,0,0.098,1.3,0.958,256.4,96.92,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 19:30:00,0,0,0,0,0,0,4,4.0,118.59,0,0.098,1.3,0.98,256.4,96.94,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 20:00:00,0,0,0,0,0,0,4,4.0,124.51,0,0.098,1.3,1.002,256.9,96.29,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 20:30:00,0,0,0,0,0,0,8,4.0,130.46,0,0.098,1.2,1.018,256.9,96.3,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 21:00:00,0,0,0,0,0,0,4,4.0,136.4,0,0.098,1.2,1.035,255.9,95.4,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 21:30:00,0,0,0,0,0,0,4,4.0,142.29,0,0.098,1.2,1.045,255.9,95.4,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 22:00:00,0,0,0,0,0,0,4,4.0,148.06,0,0.098,1.2,1.057,252.7,94.44,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 22:30:00,0,0,0,0,0,0,4,4.0,153.58,0,0.098,1.2,1.067,252.7,94.44,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 23:00:00,0,0,0,0,0,0,4,4.0,158.64,0,0.098,1.2,1.078,247.8,93.6,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 23:30:00,0,0,0,0,0,0,8,4.0,162.77,0,0.098,1.1,1.09,247.8,93.59,6.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 00:00:00,0,0,0,0,0,0,4,4.0,165.17,0,0.098,1.1,1.102,242.6,93.51,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 00:30:00,0,0,0,0,0,0,4,4.0,164.97,0,0.098,1.0,1.113,242.6,93.5,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 01:00:00,0,0,0,0,0,0,1,4.0,162.24,0,0.098,1.0,1.125,231.7,87.34,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 01:30:00,0,0,0,0,0,0,8,4.0,157.93,0,0.098,1.0,1.141,231.7,87.35,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 02:00:00,0,0,0,0,0,0,8,4.0,152.78,0,0.098,1.0,1.158,220.8,87.21,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 02:30:00,0,0,0,0,0,0,8,4.0,147.21,0,0.098,1.0,1.176,220.8,87.21,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 03:00:00,0,0,0,0,0,0,8,4.0,141.41,0,0.098,1.0,1.195,215.1,87.58,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 03:30:00,0,0,0,0,0,0,8,4.0,135.51,1,0.098,1.0,1.212,215.1,87.57,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 04:00:00,0,0,0,0,0,0,8,4.0,129.56,0,0.098,1.0,1.23,214.7,88.16,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 04:30:00,0,0,0,0,0,0,8,4.0,123.62,0,0.098,1.0,1.242,214.7,88.15,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 05:00:00,0,0,0,0,0,0,8,4.0,117.71,0,0.098,1.0,1.255,215.0,88.01,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 05:30:00,0,0,0,0,0,0,8,4.0,111.86,0,0.098,0.9,1.267,215.0,88.02,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 06:00:00,0,0,0,0,0,0,8,4.0,106.1,0,0.098,0.9,1.279,215.9,87.73,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 06:30:00,0,0,0,0,0,0,8,4.0,100.47,0,0.098,0.9,1.287,215.9,87.74,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 07:00:00,0,0,0,0,0,0,8,4.0,94.99,0,0.098,0.9,1.297,213.3,87.8,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 07:30:00,0,0,0,0,0,0,4,4.0,89.69,0,0.098,0.8,1.303,213.3,87.8,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 08:00:00,32,1,32,41,131,54,4,4.0,84.64,4,0.098,0.8,1.31,207.4,92.01,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 08:30:00,67,36,74,71,308,125,8,4.0,79.87,4,0.098,1.1,1.313,207.4,92.02,8.0,1020,3.5278,2.6888,-0.084945031,2017-01,False
2017-01-02 09:00:00,103,65,119,89,448,202,8,5.0,75.45,4,0.098,1.4,1.317,198.5,89.29,9.0,1020,5.7967,4.4511,-0.084945031,2017-01,False
2017-01-02 09:30:00,136,84,163,103,538,274,4,5.0,71.44,4,0.098,1.7,1.317,198.5,89.3,9.0,1020,8.2358,6.3656,-0.084945031,2017-01,False
2017-01-02 10:00:00,159,117,203,106,631,343,4,5.0,67.92,0,0.098,2.1,1.317,199.6,83.15,9.0,1020,10.5814,8.2138,-0.084945031,2017-01,False
2017-01-02 10:30:00,158,377,317,113,674,398,4,5.0,64.98,0,0.098,2.4,1.319,199.6,83.15,9.0,1020,16.9108,13.1631,-0.084945031,2017-01,False
2017-01-02 11:00:00,201,196,291,112,722,443,4,5.0,62.69,0,0.098,2.8,1.322,210.4,83.79,9.0,1020,15.7755,12.3006,-0.084945031,2017-01,False
2017-01-02 11:30:00,215,185,305,114,740,472,4,5.0,61.13,0,0.098,2.9,1.327,210.4,83.78,9.0,1020,16.7009,13.0354,-0.084945031,2017-01,False
2017-01-02 12:00:00,230,168,313,117,745,485,4,5.0,60.36,1,0.098,3.1,1.332,214.5,83.26,9.0,1020,17.2193,13.4461,-0.084945031,2017-01,False
2017-01-02 12:30:00,174,8,178,116,745,484,4,5.0,60.41,0,0.098,3.0,1.329,214.5,83.24,9.0,1020,9.7895,7.6442,-0.084945031,2017-01,False
2017-01-02 13:00:00,123,0,123,112,744,470,8,5.0,61.28,0,0.098,2.9,1.327,214.6,83.44,9.0,1020,6.7288,5.2515,-0.084945031,2017-01,False
2017-01-02 13:30:00,196,78,232,109,725,439,8,5.0,62.94,0,0.098,2.9,1.323,214.6,83.44,9.0,1020,12.556,9.7886,-0.084945031,2017-01,False
2017-01-02 14:00:00,99,0,99,102,705,397,8,5.0,65.32,0,0.098,2.9,1.319,211.4,84.35,9.0,1020,5.2679,4.0993,-0.084945031,2017-01,False
2017-01-02 14:30:00,5,0,5,96,662,340,8,5.0,68.34,0,0.098,2.7,1.316,211.4,84.36,9.0,1020,0.2597,0.2015,-0.084945031,2017-01,False
2017-01-02 15:00:00,4,0,4,85,611,275,8,5.0,71.92,4,0.098,2.5,1.314,206.2,85.66,9.0,1020,0.2012,0.1554,-0.084945031,2017-01,False
2017-01-02 15:30:00,3,0,3,73,521,200,4,5.0,75.99,4,0.098,1.9,1.313,206.2,91.71,8.0,1020,0.1455,0.1116,-0.084945031,2017-01,False
2017-01-02 16:00:00,57,388,122,57,388,122,2,5.0,80.46,4,0.098,1.4,1.312,198.4,93.26,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 16:30:00,34,186,49,34,186,49,1,5.0,85.27,0,0.098,1.2,1.317,198.4,99.9,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 17:00:00,0,0,0,0,0,0,1,5.0,90.35,0,0.098,1.1,1.322,190.6,98.37,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 17:30:00,0,0,0,0,0,0,1,5.0,95.67,0,0.098,1.1,1.329,190.6,98.39,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 18:00:00,0,0,0,0,0,0,1,5.0,101.17,0,0.098,1.1,1.337,178.5,99.2,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 18:30:00,0,0,0,0,0,0,1,5.0,106.82,0,0.098,1.1,1.355,178.5,99.22,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 19:00:00,0,0,0,0,0,0,1,6.0,112.59,1,0.098,1.2,1.374,172.1,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 19:30:00,0,0,0,0,0,0,1,6.0,118.45,0,0.098,1.2,1.391,172.1,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 20:00:00,0,0,0,0,0,0,4,6.0,124.37,0,0.098,1.2,1.409,168.8,96.87,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 20:30:00,0,0,0,0,0,0,8,6.0,130.32,0,0.098,1.2,1.447,168.8,96.87,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 21:00:00,0,0,0,0,0,0,8,6.0,136.26,0,0.098,1.2,1.485,162.6,99.12,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 21:30:00,0,0,0,0,0,0,8,6.0,142.15,0,0.098,1.2,1.544,162.6,99.15,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 22:00:00,0,0,0,0,0,0,8,7.0,147.91,0,0.098,1.4,1.604,162.1,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 22:30:00,0,0,0,0,0,0,8,7.0,153.44,0,0.098,1.5,1.673,162.1,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 23:00:00,0,0,0,0,0,0,8,7.0,158.49,0,0.098,1.6,1.743,162.5,97.72,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-02 23:30:00,0,0,0,0,0,0,8,7.0,162.64,0,0.098,1.7,1.814,162.5,97.71,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 00:00:00,0,0,0,0,0,0,8,7.0,165.06,0,0.098,1.8,1.885,163.7,99.32,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 00:30:00,0,0,0,0,0,0,8,7.0,164.9,0,0.098,1.7,1.955,163.7,99.31,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 01:00:00,0,0,0,0,0,0,8,8.0,162.22,0,0.098,1.7,2.025,162.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 01:30:00,0,0,0,0,0,0,8,8.0,157.93,0,0.098,1.6,2.074,162.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 02:00:00,0,0,0,0,0,0,8,8.0,152.8,0,0.098,1.5,2.123,155.7,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 02:30:00,0,0,0,0,0,0,8,8.0,147.24,0,0.098,1.6,2.149,155.7,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 03:00:00,0,0,0,0,0,0,4,7.0,141.45,0,0.098,1.7,2.175,146.9,99.76,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 03:30:00,0,0,0,0,0,0,8,7.0,135.55,0,0.098,1.9,2.194,146.9,99.74,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 04:00:00,0,0,0,0,0,0,8,7.0,129.61,0,0.098,2.1,2.214,142.1,99.09,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 04:30:00,0,0,0,0,0,0,8,7.0,123.66,0,0.098,2.0,2.233,142.1,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 05:00:00,0,0,0,0,0,0,4,7.0,117.74,0,0.098,2.0,2.253,138.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 05:30:00,0,0,0,0,0,0,8,7.0,111.89,0,0.098,2.0,2.273,138.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 06:00:00,0,0,0,0,0,0,4,7.0,106.13,0,0.098,2.1,2.294,133.3,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 06:30:00,0,0,0,0,0,0,4,7.0,100.49,0,0.098,2.2,2.314,133.3,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 07:00:00,0,0,0,0,0,0,8,7.0,95.01,0,0.098,2.4,2.335,133.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 07:30:00,0,0,0,0,0,0,4,7.0,89.71,0,0.098,2.8,2.364,133.0,100.0,9.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-03 08:00:00,3,0,3,31,311,60,4,7.0,84.65,4,0.098,3.2,2.394,136.6,98.71,9.0,1020,0.0,0.0,-0.115417674,2017-01,False
2017-01-03 08:30:00,8,0,8,48,492,134,4,7.0,79.87,4,0.098,3.3,2.428,136.6,98.71,9.0,1020,0.3814,0.2907,0.588464225,2017-01,False
2017-01-03 09:00:00,13,0,13,59,606,211,8,8.0,75.44,4,0.098,3.5,2.462,142.2,96.5,10.0,1020,0.6333,0.4863,1.641539335,2017-01,False
2017-01-03 09:30:00,18,0,18,67,681,284,4,8.0,71.42,4,0.098,3.7,2.494,142.2,96.5,10.0,1020,0.9096,0.7031,2.948566639,2017-01,False
2017-01-03 10:00:00,22,0,22,76,719,347,4,9.0,67.88,0,0.098,4.0,2.527,153.7,95.69,11.0,1020,1.1471,0.8905,3.053777317,2017-01,False
2017-01-03 10:30:00,78,0,78,80,755,401,4,9.0,64.92,0,0.098,4.2,2.559,153.7,95.66,11.0,1020,4.1629,3.2405,2.618580496,2017-01,False
2017-01-03 11:00:00,44,0,44,85,773,441,4,10.0,62.62,0,0.098,4.5,2.591,161.8,93.66,12.0,1020,2.3864,1.8608,3.106309056,2017-01,False
2017-01-03 11:30:00,84,0,84,88,788,469,8,10.0,61.05,0,0.098,4.7,2.62,161.8,93.62,12.0,1020,4.6019,3.592,1.993437914,2017-01,False
2017-01-03 12:00:00,196,28,210,90,791,482,8,10.0,60.27,0,0.098,4.9,2.65,168.2,96.42,13.0,1020,11.5591,9.0267,1.411237697,2017-01,False
2017-01-03 12:30:00,208,50,233,90,790,481,8,10.0,60.31,0,0.098,4.8,2.674,168.2,96.38,13.0,1020,12.822,10.0127,2.6662516,2017-01,False
2017-01-03 13:00:00,108,0,108,91,774,464,8,10.0,61.17,0,0.098,4.8,2.698,172.0,98.39,13.0,1020,5.9123,4.6145,0.563680175,2017-01,False
2017-01-03 13:30:00,155,2,156,89,757,435,8,10.0,62.81,0,0.098,4.6,2.717,172.0,98.37,13.0,1020,8.4502,6.5883,2.65331339,2017-01,False
2017-01-03 14:00:00,63,0,63,89,717,390,6,10.0,65.18,0,0.098,4.6,2.736,172.9,99.85,13.0,1020,3.3558,2.6117,1.641424706,2017-01,False
2017-01-03 14:30:00,67,0,67,83,677,335,6,10.0,68.2,0,0.098,4.6,2.742,172.9,99.84,13.0,1020,3.4842,2.7038,0.578651944,2017-01,False
2017-01-03 15:00:00,53,0,53,79,606,268,9,11.0,71.78,4,0.098,4.8,2.748,172.1,100.0,13.0,1020,2.6695,2.0623,0.021476693,2017-01,False
2017-01-03 15:30:00,39,0,39,68,521,196,6,11.0,75.85,4,0.098,5.0,2.748,172.1,100.0,13.0,1020,1.8935,1.4529,-0.083321252,2017-01,False
2017-01-03 16:00:00,24,0,24,54,396,120,6,11.0,80.32,4,0.098,5.2,2.749,170.4,100.0,13.0,1020,0.0,0.0,-0.16084367,2017-01,False
2017-01-03 16:30:00,10,0,10,32,205,50,8,11.0,85.12,4,0.098,5.5,2.74,170.4,100.0,13.0,1020,0.0,0.0,-0.211521801,2017-01,False
2017-01-03 17:00:00,0,0,0,0,0,0,6,11.0,90.21,0,0.098,5.9,2.732,169.4,100.0,13.0,1020,0.0,0.0,-0.083495028,2017-01,False
2017-01-03 17:30:00,0,0,0,0,0,0,6,11.0,95.53,0,0.098,6.1,2.741,169.4,100.0,13.0,1020,0.0,0.0,-0.082697925,2017-01,False
2017-01-03 18:00:00,0,0,0,0,0,0,6,11.0,101.03,0,0.098,6.3,2.75,170.1,100.0,13.0,1020,0.0,0.0,-0.083656433,2017-01,False
2017-01-03 18:30:00,0,0,0,0,0,0,4,11.0,106.68,0,0.098,6.3,2.806,170.1,100.0,13.0,1020,0.0,0.0,-0.08390083,2017-01,False
2017-01-03 19:00:00,0,0,0,0,0,0,8,11.0,112.45,0,0.098,6.4,2.863,171.8,100.0,13.0,1020,0.0,0.0,-0.084142979,2017-01,False
2017-01-03 19:30:00,0,0,0,0,0,0,8,11.0,118.31,0,0.098,6.3,2.921,171.8,100.0,13.0,1020,0.0,0.0,-0.083865032,2017-01,False
2017-01-03 20:00:00,0,0,0,0,0,0,4,11.0,124.23,0,0.098,6.2,2.979,174.9,100.0,13.0,1020,0.0,0.0,-0.084501851,2017-01,False
2017-01-03 20:30:00,0,0,0,0,0,0,8,11.0,130.17,0,0.098,6.0,2.998,174.9,100.0,13.0,1020,0.0,0.0,-0.084781134,2017-01,False
2017-01-03 21:00:00,0,0,0,0,0,0,6,11.0,136.12,0,0.098,5.9,3.018,178.4,98.64,13.0,1020,0.0,0.0,-0.084637508,2017-01,False
2017-01-03 21:30:00,0,0,0,0,0,0,8,11.0,142.0,0,0.098,5.8,3.006,178.4,98.65,13.0,1020,0.0,0.0,-0.084955705,2017-01,False
2017-01-03 22:00:00,0,0,0,0,0,0,8,11.0,147.77,0,0.098,5.7,2.995,183.5,100.0,13.0,1020,0.0,0.0,-0.083971569,2017-01,False
2017-01-03 22:30:00,0,0,0,0,0,0,8,11.0,153.29,0,0.098,5.5,2.988,183.5,100.0,13.0,1020,0.0,0.0,-0.084351667,2017-01,False
2017-01-03 23:00:00,0,0,0,0,0,0,8,11.0,158.35,0,0.098,5.4,2.981,188.8,100.0,13.0,1020,0.0,0.0,-0.083802512,2017-01,False
2017-01-03 23:30:00,0,0,0,0,0,0,8,11.0,162.5,0,0.098,5.3,2.981,188.8,100.0,13.0,1020,0.0,0.0,-0.083188346,2017-01,False
2017-01-04 00:00:00,0,0,0,0,0,0,8,11.0,164.94,0,0.098,5.2,2.981,190.7,100.0,14.0,1020,0.0,0.0,-0.082871782,2017-01,False
2017-01-04 00:30:00,0,0,0,0,0,0,8,11.0,164.82,0,0.098,5.1,2.996,190.7,100.0,14.0,1020,0.0,0.0,-0.082300465,2017-01,False
2017-01-04 01:00:00,0,0,0,0,0,0,8,11.0,162.18,1,0.098,5.0,3.012,194.0,100.0,14.0,1020,0.0,0.0,-0.084403924,2017-01,False
2017-01-04 01:30:00,0,0,0,0,0,0,6,11.0,157.93,0,0.098,4.8,3.029,194.0,100.0,14.0,1020,0.0,0.0,-0.085053559,2017-01,False
2017-01-04 02:00:00,0,0,0,0,0,0,8,11.0,152.82,0,0.098,4.6,3.047,191.3,100.0,14.0,1020,0.0,0.0,-0.083580769,2017-01,False
2017-01-04 02:30:00,0,0,0,0,0,0,8,11.0,147.27,0,0.098,4.6,3.062,191.3,100.0,14.0,1020,0.0,0.0,-0.084381011,2017-01,False
2017-01-04 03:00:00,0,0,0,0,0,0,8,11.0,141.49,0,0.098,4.6,3.077,190.0,100.0,14.0,1020,0.0,0.0,-0.083455689,2017-01,False
2017-01-04 03:30:00,0,0,0,0,0,0,6,11.0,135.59,0,0.098,4.4,3.075,190.0,100.0,14.0,1020,0.0,0.0,-0.083317518,2017-01,False
2017-01-04 04:00:00,0,0,0,0,0,0,6,11.0,129.64,0,0.098,4.2,3.073,193.3,100.0,14.0,1020,0.0,0.0,-0.083705421,2017-01,False
2017-01-04 04:30:00,0,0,0,0,0,0,8,11.0,123.69,0,0.098,3.6,3.078,193.3,100.0,13.0,1020,0.0,0.0,-0.08318318,2017-01,False
2017-01-04 05:00:00,0,0,0,0,0,0,8,11.0,117.78,0,0.098,3.1,3.085,206.6,100.0,13.0,1020,0.0,0.0,-0.081952002,2017-01,False
2017-01-04 05:30:00,0,0,0,0,0,0,8,11.0,111.92,0,0.098,2.3,3.07,206.6,100.0,13.0,1020,0.0,0.0,-0.083282841,2017-01,False
2017-01-04 06:00:00,0,0,0,0,0,0,8,11.0,106.16,0,0.098,1.5,3.055,231.3,100.0,13.0,1020,0.0,0.0,-0.083290704,2017-01,False
